Country Name,P2014,TMI,TFR, EVT , EVH , EVM , REG , ARE ,INC,OOS,TNT,TSB,ABS,GDP,IPC,ISR,MCS,TDS
Comoros,769991,56.6,4.49,63.26,61.63,64.96,Sub-Saharan Africa,Africa,679.3405827,0,33.897,0,20.09672219,810.0757668,0.578747502,6.98,50.90120382,6.5
"Congo, Dem. Rep.",74877030,76.5,6.01,58.66,57.25,60.14,Sub-Saharan Africa,Africa,238.22646,0,41.96,0,67.43980062,442.3395394,0,3,53.49321638,8
"Congo, Rep.",4504962,34.4,4.87,62.31,60.84,63.86,Sub-Saharan Africa,Africa,914.5048143,0,36.536,0,65.44480234,3147.072161,0.077160494,7.11,108.1495742,6.5
Costa Rica,4757606,8.6,1.82,79.4,77.01,81.91,Latin America & Caribbean,America,9369.572875,6.04852,14.768,0,53.38425382,10415.44438,4.515312677,49.41,143.8283592,8.300000191
Cote d'Ivoire,22157107,68.5,5,51.56,50.74,52.42,Sub-Saharan Africa,Africa,1409.445029,0,37.118,0,32.70880503,1545.942249,0.45303046,14.6,106.2476093,4
Croatia,4238389,3.8,1.46,77.33,74.5,80.3,Europe & Central Asia,Europe,10418.19039,0,9.3,0,34.33881344,13475.25896,-0.21519616,68.57,104.4313214,16.70000076
Cuba,11379111,4.1,1.62,79.39,77.38,81.5,Latin America & Caribbean,America,0,0,10.246,0,29.55781642,0,0,30,22.47839584,3.299999952
Curacao,155909,,2,77.82,74.8,81,Latin America & Caribbean,America,0,0,12.6,0,0,0,0,0,121.5965545,0
Cyprus,1153658,2.6,1.45,80.13,77.97,82.4,Europe & Central Asia,Europe,16647.54174,0.29856,11.326,0,18.69372294,27194.39184,-1.354988854,69.33,96.33531011,15.60000038
Czech Republic,10525347,2.9,1.46,78.28,75.3,81.4,Europe & Central Asia,Europe,13760.2291,0,10.4,0,34.50731581,19502.41733,0.337186898,79.71,129.539048,6.199999809
Denmark,5638530,3,1.67,80.55,78.5,82.7,Europe & Central Asia,Europe,50987.49029,0,10.1,0,14.31015791,60718.3927,0.56402054,95.99,125.8881271,6.599999905
Djibouti,876174,55.8,3.2,62.02,60.44,63.67,Middle East & North Africa,Africa,0,0,25.105,0,0.241587575,1813.596566,2.887276145,10.71,32.38686559,0
Dominica,72341,19.5,,,,,Latin America & Caribbean,America,6709.20115,0,0,0,58.13333333,7244.495847,0.799139764,62.86,127.4519291,0
Dominican Republic,10405943,26.2,2.48,73.5,70.44,76.71,Latin America & Caribbean,America,5464.127906,4.91979,20.853,0,40.35182119,6163.575857,2.998642261,49.58,78.86382636,15
Ecuador,15902916,19,2.54,75.87,73.19,78.69,Latin America & Caribbean,America,4971.581003,0,20.781,0,50.83995007,6345.840725,3.57312785,43,103.8991648,4.599999905
"Egypt, Arab Rep.",89579670,21,3.34,71.12,68.99,73.36,Middle East & North Africa,Africa,2853.134431,0,27.797,0,0.072730926,3365.707421,10.14580055,31.7,114.3059858,13.19999981
El Salvador,6107706,14.9,1.93,72.75,68.3,77.44,Latin America & Caribbean,America,3499.498684,0,17.314,0,13.0019305,4119.992023,1.105775113,29.7,144.0115781,6.199999809
Equatorial Guinea,820885,70.3,4.84,57.65,56.33,59.03,Sub-Saharan Africa,Africa,2343.99718,0,35.007,0,56.31372549,18918.27683,4.825089579,18.86,66.38811096,7.900000095
Eritrea,5110444,35,4.28,63.66,61.56,65.87,Sub-Saharan Africa,Africa,0,0,34.091,0,14.99405941,0,0,0.99,6.38599695,7.199999809
Estonia,1314545,2.5,1.52,77.24,72.8,81.9,Europe & Central Asia,Europe,16398.82856,0,10.3,0,52.663364,20147.77822,-0.144815519,84.24,160.6878485,7.699999809
Ethiopia,96958732,42.9,4.4,64.04,62.16,66.01,Sub-Saharan Africa,Africa,477.0454323,0,32.412,0,12.4584,573.5659603,7.39181448,2.9,31.59388039,5.199999809
Faroe Islands,48221,,2.6,81.69,79.4,84.1,Europe & Central Asia,Europe,0,0,13.2,0,0.05730659,0,0,94.66,124.1164577,0
Fiji,886450,19.4,2.56,70.09,67.15,73.17,East Asia & Pacific,Asia & Oceania,4340.528635,0,20.075,0,55.40996169,5112.322117,0.540328896,41.8,98.77670015,7.900000095
Finland,5461512,2,1.75,81.13,78.3,84.1,Europe & Central Asia,Europe,40232.60606,0,10.5,0,73.11198131,49842.71306,1.041200006,92.38,139.6638962,8.600000381
France,66217509,3.6,1.99,82.37,79.3,85.6,Europe & Central Asia,Europe,35828.80072,0,12.4,0,30.82053558,42725.73949,0.507700673,83.75,101.2124157,9.899999619
French Polynesia,279781,,2.04,76.54,74.33,78.87,East Asia & Pacific,Asia & Oceania,0,0,16.199,0,42.34972678,0,0,60.68,91.16908178,0
Gabon,1687673,37,3.91,64.38,63.76,65.04,Sub-Saharan Africa,Africa,5450.295006,0,30.166,0,88.48527186,10772.06175,4.655607891,9.81,171.375053,19.70000076
"Gambia, The",1928201,48.6,5.72,60.23,58.91,61.62,Sub-Saharan Africa,Africa,333.1388667,0,42.138,0,48.06324111,441.2934115,5.947374922,15.56,119.6304887,7
Georgia,3727000,11.3,1.82,74.67,71.15,78.36,Europe & Central Asia,Europe,3900.015147,0.99202,13.532,0,40.61591596,4435.192699,3.068812104,48.9,124.9355401,13.39999962
Germany,80970732,3.2,1.39,80.84,78.6,83.2,Europe & Central Asia,Europe,40365.11795,0,8.6,0,32.75664199,47773.94419,0.906797035,86.19,120.4201855,5
